Titulo,Anio,Tipo,Genero,Rating,Puntuacion,Pais_Origen,Idioma,Elenco,Director,Creador,Escritor,Duracion(min)
Mann - Soul's Heart,1999.0,movie,Drama,6.2,5245.0,India,Hindi,"Aamir Khan, Manisha Koirala, Sharmila Tagore, Deepti Bhatnagar, Dalip Tahil, Anil Kapoor, Rani Mukerji, Neeraj Vora, Satyendra Kapoor, Ananth Narayan Mahadevan, Sulabha Deshpande, Paresh Ganatra, Sanjay Goradia, Sheela Sharma, Mushtaq Khan, Indumati Rajda, Mukesh Ahuja, Pappu Polyester, Sharad Vyas, Neena Cheema, Jagesh Mukati, Priti Khatri, Naginder Malawade, Mona Parekh, Taniya, Richa, Digesh, Yash, Sumona, Joya, Akash, Srishti, Rahil, Ishan, Jay, Ketki Dave, Akash Ajmera, Sumona Chakravarti, Shama Sikander, Meru Vernekar",Indra Kumar,"Darshan Rathod, Sanjeev Rathod, Naresh Sharma","Mildred Cram, Aatish Kapadia, Aatish Kapadia",160.0
Marat/Sade,1967.0,movie,Drama,7.5,2436.0,United Kingdom,English,"Patrick Magee, Ian Richardson, Michael Williams, Clifford Rose, Glenda Jackson, Freddie Jones, Hugh Sullivan, John Hussey, William Morgan Sheppard, Jonathan Burn, Jeanette Landis, Robert Langdon Lloyd, John Steiner, James Mellor, Henry Woolf, John Harwood, Leon Lissek, Susan Williamson, Carol Raymont, Mary Allen, Brenda Kempner, Mark Jones, Maroussia Frank, Tamara Fuerst, Sheila Grant, Lynn Pinkney, Ian Hogg, Ruth Baker, Michael Farnsworth, Guy Gordon, Michael Percival, Heather Canning, Jennifer Tudor, Tim Hardy, Stanford Trowell",Peter Brook,Richard Peaslee,"Peter Weiss, Geoffrey Skelton, Adrian Mitchell",119.0
Saludos Amigos,1942.0,movie,Animation,6.1,6167.0,"United States, Brazil, Bolivia","English, Portuguese","Fred Shields, José Oliveira, Lee Blair, Mary Blair, Stuart Buchanan, Pinto Colvig, Walt Disney, Norman Ferguson, June Foray, Frank Graham, Clarence Nash, Frank Thomas","Wilfred Jackson, Jack Kinney, Hamilton Luske","Edward H. Plumb, Paul J. Smith, Frank Churchill","Ted Sears, William Cottrell, Webb Smith",42.0
Cold Harvest,1999.0,video movie,Action,5.4,610.0,United States,English,"Gary Daniels, Bryan Genesse, Barbara Crampton, David Sherwood, Isaac Mavimbela, Chris Buchanan, Greg Melvill-Smith, David Dukas, Cecil Carter, Rohan Coll, Ian Roussouw, Michelle Levin, Justin Illusion, Melanie Walker, Lee-Anne Liebenberg, Shane Howarth, Ian Yule, Gordon Mulholland, Lynne Maree, John Lesley, Robert Colman, Iain Paton, Tony Caprari, John Simon Jones, Dan Robbertse, Sean Flowerday, Frikkie Botes",Isaac Florentine,Stephen Edwards,"Frank Dietz, Greg Latter",89.0
Micki + Maude,1984.0,movie,Comedy,6.0,2925.0,United States,English,"Dudley Moore, Amy Irving, Ann Reinking, Richard Mulligan, George Gaynes, Wallace Shawn, John Pleshette, H.B. Haggerty, Lu Leonard, Priscilla Pointer, Robert Symonds, George Coe, Gustav Vintas, Ken Olfson, Philippe Denham, Emma Walton Hamilton, Ruth Silveira, ""Jack Wildman Armstrong"", André the Giant, Big John Studd, Chief Jay Strongbow, John J. Flynn Jr., Gene LeBell, Wiley Harker, Tina Theberge, Jim Giggins, Roger Rose, Tiiu Leek, Jamie Abbott, Christa Denton, Robby Kiger, Paul Bright, Robert Nadder, Hanna Landy, Billy Beck, Lou Felder, Virginia Kiser, Jerry Martin, Gerry Gibson, Edith Fields, Arthur Lessac, Ed Call, Aphasia Peters, Jessica Rubin, Jamie McEnnan, Hailey McAfee, Marc Harris, Avianka Guzman, Patrick Sean Murphy, Nick Coddington, Doug Donatelli, Peter Nicholas, Joe Davis, Sam Cupae, Ryan Conklin, Sean Patrick Conklin, Steven Ameche, Jack Mattis, Dawna Oak, Arthur Tovey, Tom Willett",Blake Edwards,Lee Holdridge,Jonathan Reynolds,118.0
The Legend,1993.0,movie,Action,7.2,7668.0,Hong Kong,Cantonese,"Jet Li, Josephine Siao, Michelle Reis, Wenzhuo Zhao, Sung-Young Chen, Sibelle Hu, Adam Cheng, Kong Chu, Lung Chan, Xian Gao, Tao Guo, Yueming Pan, Yankai Yu, Bing Lei Li",Corey Yuen,"Romeo Díaz, Mark Lui, James Wong","Kin Chung Chan, Susan Godfrey, Jeffrey Lau",100.0
If These Walls Could Talk,1996.0,tv movie,Drama,7.0,4208.0,United States,English,"Demi Moore, Shirley Knight, Catherine Keener, Jason London, CCH Pounder, Kevin Cooney, Robin Gammell, Phyllis Lyons, Aaron Lustig, Dena Burton, Marie DeCicco, Lorna Scott, Mary Portser, Annie Weldon, Vaughn Armstrong, Jack Kehler, Tim DeKay, Bob Shuttleworth, Sissy Spacek, Xander Berkeley, Hedy Burress, Janna Michaels, Ian Bohen, Zack Eginton, Joanna Gleason, Harris Yulin, Jordana Spiro, Michael David Carter, Tyffany Kyler, Cher, Anne Heche, Jada Pinkett Smith, Eileen Brennan, Lindsay Crouse, Craig T. Nelson, Diana Scarwid, Lorraine Toussaint, Rita Wilson, Georganne LaPiere, Sally Murphy, Rusty Schwimmer, Christine Avila, Chris Ellis, Matthew Lillard, Susie Spear Purcell, Brendan Ford, Rob Camilletti, Sarah Koskoff, Robert Wisdom, Judith Drake, Geoffrey Nauffts, Ben Marley, Carmen Thomas, Aaron James Cash, Hilda Stark, Lisa Marie Boiko, Michele Fischer, Marlene Sosebee","Cher, Nancy Savoca",Cliff Eidelman,"Pamela Wallace, Earl W. Wallace, Nancy Savoca",97.0
Sasquatch Hunters,2005.0,video movie,Action,3.3,502.0,United States,English,"Matt Lattimore, Amy Shelton-White, ""Kevin OConnor"", Gary Sturm, David Zelina, Juliana Dever, Stacey Branscombe, Rick Holland, Samuel Mongiello, Thomas Webb, Paul Wensley, Tom Burns, Jennifer Flynn, Jamie Flynn Meuth, Matthew Tait",Fred Tepper,William T. Stromberg,"Alain Matz, Alain Matz, Fred Tepper",88.0
Hell Mountain,1998.0,movie,Action,3.8,271.0,"Czechia, Canada",English,"Nicole Nieth, Bentley Mitchum, Sarah Douglas, Jack Scalia, Andrew McIlroy, Kate Rodger, Tina Wiseman, Noëlle Balfour, Christopher Clarke, Rebecca Floyd, Robert Russell, Richard Toth, Vitezslav Bouchner, Michael Caesar Lee, Karel Augusta, ""Philip ONeil"", Tyren Scott Thomas, Katie Petrosky, Seth Markel, Marta Hrachovinová, Gary E. Beach, Renata Krupka, Alena Krupka, Michael Rogers, ""Tom OLeary"", Noel le Bon, Dave Ulrich, Pavel Cajzl, Klara Hlouska, Nada Vinecká, David Nykl, Leo Stransky, Dusan Hyska, Jaroslav Peterka, Petr Drozda, Margareta Vejrostek, Petra Spindlerová, Monika Vovsa, Martina Weber, Ivana Dragoun, Michaela Roubicek, Vladimirá Kopalová, Petra Stocesa, Martina Dbala",Mike Rohl,Peter Allen,Chris Hyde,94.0
Oasis,2017.0,tv movie,Drama,8.1,5255.0,United Kingdom,English,"Richard Madden, Anil Kapoor, Antje Traue, Mark Addy, Haley Joel Osment, Zawe Ashton, Michael James Shaw, Maureen Sebastian, Michael Shaeffer, Flora Spencer-Longhurst, ""Jonjo ONeill"", Moshidi Motshegwa, Aislín McGuckin, Lemogang Tsipa, Stephen Jennings, Jason Maydew, Jeandré Wentzel",Kevin Macdonald,Martin Phipps,"Michel Faber, Matt Charman",60.0
In His Life: The John Lennon Story,2000.0,tv movie,Biography,6.0,641.0,United States,English,"Philip McQuillan, Daniel McGowan, Mark Rice-Oxley, Jamie Glover, Christine Kavanagh, Blair Brown, Gillian Kearney, Lee Williams, Kristian Ealey, Paul Broughton, Michael Ryan, Pálína Jónsdóttir, Scot Williams, Brian Yarwood, ""Charles DeAth"", Mike Pyatt, John Draycott, Barry Sloane, Ken Martin, Paul Usher, Anthony Borrows, Neil Brannan, Jane Cunliffe, George Christopher, Kate Crossley, Nichola Dixon, Alex Cox, Dean Anthony, ""Chris OConnell"", Richard Price",David Carson,Dennis McCarthy,"""Michael OHara""",85.0
Hard Ground,2003.0,tv movie,Western,5.7,399.0,United States,English,"Burt Reynolds, Bruce Dern, Amy Jo Johnson, Seth Peterson, David Figlioli, Martin Kove, Larry Hankin, Michael Shamus Wiles, Bill Henderson, Sergio Calderón, Randy Stripling, David Atkinson, Edward Faulkner, David S. Cass Sr., Frank Sharp, Shawn Patrick Nash, Steve Cobbs, Dennis Fitzgerald, Brad Heiner, Lance W. Lanfear, Robert A. Nowotny, William Rick Young",Frank Q. Dobbs,Joe Kraemer,"Frank Q. Dobbs, David S. Cass Sr.",93.0
The Isle,2018.0,movie,Fantasy,5.3,13501.0,United Kingdom,English,"Conleth Hill, Alex Hassell, Fisayo Akinade, Tori Butler-Hart, Alix Wilton Regan, Graham Butler, Dickon Tyrrell, Joe Bannister, Emma King, Ben Lee, Louis Devereux, Robert Parry, Paul Waddington, Flint MacCraig, Hughena MacPhee, Monty",Matthew Butler-Hart,Tom Kane,"Matthew Butler-Hart, Tori Butler-Hart",96.0
Dangerous Liaisons,1988.0,movie,Drama,7.6,67057.0,"United States, United Kingdom",English,"Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz, Keanu Reeves, Mildred Natwick, Uma Thurman, Peter Capaldi, Joe Sheridan, Valerie Gogan, Laura Benson, Joanna Pavlis, Nicholas Hawtrey, Paulo Abel Do Nascimento, François Lalande, François Montagut, Harry Jones, Christian Erickson, Catherine Cauwet, Shannon Finnegan, Patricia Kessler, Dan Thorens",Stephen Frears,George Fenton,"Christopher Hampton, Choderlos de Laclos, Christopher Hampton",119.0
The Legend of the 7 Golden Vampires,1974.0,movie,Action,5.9,4065.0,"United Kingdom, Hong Kong","English, Mandarin","Peter Cushing, David Chiang, Julie Ege, Han Chen Wang, Robin Stewart, Szu Shih, John Forbes-Robertson, Robert Hanna, Shen Chan, Tsan-Hsi Ma, Chia-Yung Liu, Hark-On Fung, Tien Lung Chen, Chuan Chen, David de Keyser, Chi-Chang Ho, Hsia Hsu, Ha Huang, Pei-Chi Huang, Chun Fai Lau, Hoi-Sang Lee, Hui-Ling Liu, Wai Lo, Jack Long, Te-Chiang Teng, Po-Chen Yang","Roy Ward Baker, Cheh Chang",James Bernard,"Don Houghton, Bram Stoker",89.0
Mandela and de Klerk,1997.0,tv movie,Drama,7.0,594.0,United States,"English, Afrikaans","Sidney Poitier, Michael Caine, Tina Lifford, Gerry Maritz, Ian Roberts, Ben Kruger, Jerry Mofokeng, Owen Sejake, Andre Jacobs, Tertius Meintjes, John Carson, David Fortune, Farouk Valley-Omar, Terry Norton, Bankole Omotoso, Sebata Sesiu, Moshidi Motshegwa, Nomonde Gogi, Jonathan Pienaar, Vuyelwa Nyakaza, Lentsoe Mosieleng, Kwezi L.L. Kobus, Christopher Gxalaba, Elize Meiring, Warren Lindsay, Hannes Horne, Tshamano Sebe, Regardt van den Bergh, Johan Malherbe, Johan Stassen, Hans J. Heuer, Gordon van Rooyen, Christo Loots, Duncan Lawson, Nzululwazi Mahlaka, Gideon De Wet, Graham Clarke, Mehboob Bawa, Susanne Beyers, Sian Erasmus, Amanda Lane, Nadira Omarjee, Phillip Henn, Vuyisile Bojana, ""Eugene TerreBlanche"", Desmond Tutu",Joseph Sargent,Cédric Gradus Samson,Richard Wesley,114.0
Bent,2018.0,movie,Crime,5.2,6487.0,"Spain, United States",English,"Karl Urban, Sofía Vergara, Andy Garcia, John Finn, Vincent Spano, Grace Byers, Javier Molina, Tonya Cornelisse, Trai Byers, Joe Pacheco, Charlotte Bradley, Patrick Brennan, Isabel Serrano, Matthew T. Reynolds, Pat Asanti, Jayden Lund, Marco Pancrazi, Elena Sanz, Matt Patresi, David Kirk Traylor, Violet Ryder, Chiara Bassermann, Julia Hoff, Timothy Martin, Silvio Pollio, Indy Urban, Jay Natelle, Andrea Bruschi, Robert Marlowe, Cherish Gaines, Nuria Tomás, Nadia Rahman, Eddie Zengeni, Mark Hannan",Bobby Moresco,Zacarías M. de la Riva,"Bobby Moresco, ""Joseph P. ODonnell""",96.0
Cut and Run,1984.0,movie,Adventure,5.7,2175.0,Italy,Italian,"Lisa Blount, Leonard Mann, Willie Aames, Richard Lynch, Richard Bright, Michael Berryman, Eriq La Salle, Gabriele Tinti, Valentina Forte, John Steiner, Karen Black, Barbara Magnolfi, Luca Barbareschi, Penny Brown, Carlos de Carvalho, Edward Farrelly, ""Ottaviano DellAcqua"", Ruggero Deodato",Ruggero Deodato,Claudio Simonetti,"Cesare Frugoni, Dardano Sacchetti, Luciano Vincenzoni",90.0
Modern Vampires,1998.0,tv movie,Comedy,4.5,1975.0,United States,English,"Casper Van Dien, Natasha Gregson Wagner, Rod Steiger, Kim Cattrall, Natasha Lyonne, Craig Ferguson, Udo Kier, Gabriel Casseus, Robert Pastorelli, Natalya Andreychenko, Boris Lee Krutonog, Marco Hofschneider, Stephen Porter, Ellia Thompson, Peter Lucas, Jason Ross-Azikiwe, Roberta Hanley, Victor Togunde, Cedrick Terrell, Flex Alexander, Robert Peters, Rick Cramer, John Sencio, John Fleck, Conchata Ferrell, Brent Briscoe, Louis Elfman, Keenan Ratowski, Brad Joseph Dubin, Dimitri Schell, Richard Elfman, Michelle Csitos, Elliott James, Francesca Lombardo, Elizabeth Sampson",Richard Elfman,Michael Wandmacher,Matthew Bright,91.0
Ghosts of Rwanda,2004.0,episode,Documentary,8.7,219.0,,,"Madeleine Albright, Gromo Alex, Kofi Annan, Henry Anyidoho, Brent Beardsley, Prudence Bushnell, Willy Claes, Bill Clinton, Roméo Dallaire, Mark Doyle, Philippe Gaillard, Ibrahim Gambari, Katelijne Hermans, Valentina Iribagiza, Paul Kagame, Tony Lake, Laura Lane, Joyce Leader, Will Lyman, Tony Marley, George Moose, Monique Mujawamariya, Bonaventure Niyibizi, Samantha Power, Gitera Rwamuhizi, Michael Sheehan, Charles Vuckovic, Carl Wilkens",Greg Barker,Dan Jones,Greg Barker,120.0
Tremors 4: The Legend Begins,2004.0,video movie,Action,5.3,12532.0,United States,English,"Michael Gross, Sara Botsford, Billy Drago, Brent Roam, August Schellenberg, J.E. Freeman, Ming Lo, Lydia Look, Sam Ly, Neal Kopit, Sean Moran, Matthew Seth Wilson, John Dixon, Dan Lemieux, Don Ruffin, Lou Carlucci, Kai Taschner, Andrew Van Hise",S.S. Wilson,Jay Ferguson,"S.S. Wilson, Brent Maddock, Ron Underwood",101.0
Up and Down,2004.0,movie,Comedy,6.9,1916.0,Czechia,"Czech, English, German, Russian","Petr Forman, Emília Vásáryová, Jirí Machácek, Natasa Burger, Jan Tríska, Ingrid Timková, Kristýna Boková, Pavel Liska, Marek Daniel, Jan Budar, Zdenek Suchý, Jaroslav Dusek, Martin Huba, Hynek Schneider, Jirina Trebická, Andrei Toader, Miroslav Kaman, Josef Kolínský, Roman Holub, Shalini Schmid, Maria Tusa, Kajal Charlton, Ester Geislerová, Jakub Sommer, Václav Havel, Jan Brezina, Stefan Chovanec, Petr Jarchovský, Petr Sabach, Marek Skarpa",Jan Hrebejk,Ales Brezina,"Jan Hrebejk, Petr Jarchovský",108.0
Afula Express,1997.0,movie,Comedy,6.7,194.0,Israel,"Hebrew, English","Zvika Hadar, Esti Zakheim, Aryeh Moskona, Orli Perl, Natan Zahavi, Pini Kidron, Evelyn Kaplun, Amit Lior, Tsipor Aizen, Dean Lior, Tommy Shafrir, Zevulun Mosheashvili, Itzik Twini, Anita Falili, Yossi Bernfeld, Estrika Nagid, Avi Madar, Eyal Rozales, Christine Mingo, Shai Goldenberg, Avi Hazeav, Tatianna Plai, Shai Appelberg, Itay Yakobovich, Dorit Goldenberg, Vera Pilanski, Erez Zino, Yum Mayan, Omri Van-Hassen, Elsar Borshtein, Dori Izick, Saur Mevorach, Ishai Meshulam, Moshe Forte, Nissim Greene, Itzhak Ben Ari, Efraim Milkis, Yakov Grishovitz, Refael Cohen, Israel Guttman, Dicko, Offer Malul, Eli Atar, Avraham Hershko, Benny Lev, Itzhak Affengir, Shoshana Malka, Rachel Israeli, Yakov Israeli, Ilana Mann, Slenge Ohana, Gabi Ohana, Zohara Ohana, Julie Shles",Julie Shles,Yuval Shafrir,"Amit Lior, Amit Lior",95.0
Hellhole Women,1981.0,movie,Action,4.8,1038.0,"Spain, West Germany","German, Spanish","Ajita Wilson, Andrea Guzon, Ursula Buchfellner, Antonio Mayans, Uta Koepke, Ángel Caballero, Gina Janssen, Otto Retzer, Tania Sandoval, Diana Capdevila, Jesús Franco, Consuelo Tejera, María del Carmen González, Patricia Quow, María Encarna Tejera, Maria Luisa Sancho, Antonio Ross, Raymond Hardy, Marie Luise Lusewitz, Nadine Pascal",Jesús Franco,Jesús Franco,"Jesús Franco, Günter Ebert",102.0
The Sinful Nuns of Saint Valentine,1974.0,movie,Drama,4.7,641.0,Italy,Italian,"Françoise Prévost, Jenny Tamburi, Paolo Malco, Franco Ressel, Corrado Gaipa, Gino Rocchetti, Pier Giovanni Anchisi, Calisto Calisti, Aldina Martano, Bruna Beani, Barbara Herrera, María Luisa Sala, Adriana Facchetti, Dada Gallotti, Cinzia Greco, Eleonora Spinelli, Attilio Dottesio, Teresa Rossi Passante, Carla Mancini, Omero Capanna, Lina Franchi, Franca Scagnetti",Sergio Grieco,Coriolano Gori,"Sergio Grieco, Sergio Grieco, Victor Hugo",93.0
Jeans,1998.0,movie,Comedy,6.5,3424.0,India,Tamil,"Prashanth, Aishwarya Rai Bachchan, Nassar, Senthil, S. Ve. Sekar, Raju Sundaram, Geeta, Radhika Sarathkumar, Gandhimathi, Janaki Sabesh, Lakshmi, Sirippu Bhaktan, Sergio Myers, Greg Bronson",S. Shankar,A.R. Rahman,S. Shankar,175.0
Third World Cop,1999.0,movie,Action,6.3,434.0,Jamaica,English,"Paul Campbell, Mark Danvers, Carl Bradshaw, ""Winston Bello Bell"", Audrey Reid, Lenford Salmon, Ninja Man, Elephant Man, ""Andrew Nittie Kutchie Reid"", ""Devon Angel Doolas Douglas"", Winsome Wilson, ""Ronald Too Small Small"", John Jones, Kathy Owen, Natalie Thompson, Lillian Foster, Clive Anderson, Lloyd Reckord, Robbie Shakespeare, Lady G, Onandi Lowe, Buccaneer, ""Donavan Boom Dandymite Stewart"", ""Patrick Harry Toddler Jackson"", ""Christopher Hawkeye Smith"", Junior Frazer, Owen Williams, Glen Campbell, ""Joslyn Captain Barkey Hamilton"", Cutty Ranks, Amelia Sewell, André Thompson, Daniel Ellis, Winston Rowe, Dean Khouri, Desmond Castello, Ricardo Barrett, ""Alton Fancy Cat Hardware"", Simon Hemmings, Omarr Fogo, Tesah Linton, Nahtasha Budhi, Angela Hunigan, Glenville Murphy, Calvin Mitchell, ""Howard Muggy Williams"", Champ, Angie Fielder, Marlon King",Chris Browne,"Wally Badarou, ""Lowell Sly Dunbar"", Robbie Shakespeare, Sly & Robbie","Suzanne Fenn, Chris Browne, Chris Salewicz",98.0
The Little Girl Who Lives Down the Lane,1976.0,movie,Drama,7.0,14259.0,"Canada, France","English, Hebrew","Jodie Foster, Martin Sheen, Alexis Smith, Mort Shuman, Scott Jacoby, Dorothy Davis, Clesson Goodhue, Hubert Noël, Jacques Famery, Mary Morter, Julie Wildman",Nicolas Gessner,Christian Gaubert,"Laird Koenig, Laird Koenig",91.0
9 Dead Gay Guys,2002.0,movie,Comedy,6.2,1493.0,United Kingdom,English,"Glenn Mulhern, Brendan Mackey, Steven Berkoff, Michael Praed, Vas Blackwood, Fish, Simon Godley, Carol Decker, Raymond Griffiths, Abdala Keserwani, Karen Sharman, Leon Herbert, Steven Woodhouse, John Michaels, Rickardo Beckles-Burrows, Deban Aderemi, Bryan Lawrence, Barry Martin, Peter Lochburn, Bill Hayes, Wayne Crompton, Mark Gardner, Neil Howarth, Peter Keswick, Harry Harris, Yvonne Fischer, Janice Frost, Cordelia Thomas, Laura Hazell, Martin Collins, Karen Coppins, Nicolas Chinardet, Adrian Flack, Mark Joyce, Jasey Ó Dálaigh, Ray Jorden, Adrian Bouchet, Stephan Erdman",Lab Ky Mo,Stephen W. Parsons,Lab Ky Mo,83.0
Steal,2002.0,movie,Action,5.5,5850.0,"France, United Kingdom, Canada",English,"Stephen Dorff, Natasha Henstridge, Bruce Payne, Steven Berkoff, Clé Bennett, Karen Cliche, Steven McCarthy, Alain Goulem, Andreas Apergis, Tom McCamus, Andy Bradshaw, David Gow, Jamie Orchard, Stephen Spreekmeester, Mariusz Sibiga, Brett Watson, Jennifer Rae Westley, Sasho Alexander, Benz Antoine, Robert Brewster, Sylvain Massé, Cecile Cristobal, Vito DeFilippo, Brent Donnelly, Charles S. Doucet, Julie Duquette, Rosey Edeh, Carlo Essagian, Scott Faulconbridge, Frank Fontaine, Pierre Gage, Dean Nagopiak, Richard Jutras, Morgan Kelly, Jennifer Marcil, John Maclaren, Wayne McNamara, John Ng, Andrew Nichols, Mike Paterson, Conrad Pla, Erin Selby, Phil Shuchat, Amy Sobol, Robin Wilcock, Valérie Wiseman, Lashaunda Yates, Florence Risler, Karine Fallu, Griffith Brewer, Jennifer Seguin, Marc Trottier",Gérard Pirès,Andy Gray,"Mark Ezra, Mark Ezra, Gérard Pirès",83.0
Heartbeat,1993.0,tv movie,Comedy,5.7,370.0,United States,English,"John Ritter, Polly Draper, Kevin Kilner, Michael Lembeck, Nancy Morgan, Christian Cousins, Victor DiMattia, Suzanne Suciu, Seth Isler, Steven Gilborn, David Selburg, Jeanine Jackson, Joe Svezia, Katsy Chappell, Christopher Halsted, Paige Pengra, Danny Hart, Joyce Guy, Tim Maculan, Tom Knickerbocker",Michael Miller,David Shire,"Danielle Steel, Jan Worthington",100.0
In the Realm of the Senses,1976.0,movie,Drama,6.6,19667.0,"Japan, France",Japanese,"Tatsuya Fuji, Eiko Matsuda, Aoi Nakajima, Yasuko Matsui, Meika Seri, Kanae Kobayashi, Taiji Tonoyama, Kyôji Kokonoe, Naomi Shiraishi, Shinkichi Noda, Komikichi Hori, Kikuhei Matsunoya, Akiko Koyama, Yuriko Azuma, Rei Minami, Machiko Aoki, Mariko Abe, Kyôko Okada, Kiyomi Yasuda, Hiroko Fuji, Tômi Mitsuboshi, Kimiko Ishii, Katsue Tamiyama, Hitomi Fukuhara, Hiroko Fujino, Kazune Tomiyama",Nagisa Ôshima,Minoru Miki,"Kôji Wakamatsu, Nagisa Ôshima",109.0
Pan Tadeusz: The Last Foray in Lithuania,1999.0,movie,Drama,6.0,3284.0,"Poland, France",Polish,"Boguslaw Linda, Daniel Olbrychski, Grazyna Szapolowska, Andrzej Seweryn, Michal Zebrowski, Marek Kondrat, Krzysztof Kolberger, Alicja Bachleda, Jerzy Trela, Jerzy Gralek, Marian Kociniak, Piotr Gasowski, Andrzej Hudziak, Wladyslaw Kowalski, Krzysztof Globisz, Sergey Shakurov, Jerzy Binczycki, Cezary Kosinski, Marek Perepeczko, Piotr Cyrwus, Wojciech Alaborski, Stefan Szmidt, Lech Dyblik, Adam Wolanczyk, Henryk Baranowski, Krzysztof Kolbasiuk, Józef Fryzlewicz, Andrzej Lapicki, Mieczyslaw Kalenik, Grazyna Barszczewska, Dorota Naruszewicz, Maria Mamona, Ewa Konstancja Bulhak, Zuzanna Lipiec, Maria Ciunelis, Asja Lamtiugina, Tomasz Dedek, Michal Breitenwald, Krzysztof Górski, Zdzislaw Szymborski, Mariusz Saniternik, Ryszard Chlebus, Marek Brodzki, Iwona Miroslaw, Miroslaw Zbrojewicz, Krystyna Zachwatowicz, Julita Kozuszek, Monika Krzywkowska, Józefina Szalanska, Marzena Debiec, Katarzyna Jungowska, Piotr Cichon, Adam Gancarz, Piotr Glinski, Ryszard Janiak, Jacek Jelen, Piotr Kobylinski, Waldemar Król, Piotr Kolodziejczyk, Wlodzimierz Lubelski, Bogdan Michalak, Tomasz Mleczek, Pawel Pliszka, Grzegorz Piatkowski, Andrzej Sitek, Pawel Staszewski, Józef Stefanski, Ireneusz Styczynski, Andrzej Szenajch, Wlodzimierz Tlokinski, Edward Urbaniak, Adam Warchol",Andrzej Wajda,Wojciech Kilar,"Adam Mickiewicz, Jan Nowina-Zarzycki, Andrzej Wajda",147.0
The Substitute: Failure Is Not an Option,2001.0,video movie,Action,4.6,1144.0,United States,English,"Treat Williams, Angie Everhart, Patrick Kilpatrick, Bill Nunn, Tim Abell, Grayson Fricke, Simon Rhee, Scott Thomas, Brian Beegle, Samantha Thomas, John Michael Weatherly, Lori Beth Sikes, Moe El Emam, J. Don Ferguson, K.C. Powe, Lonnie R. Smith Jr., Laura-Shay Griffin, Alton Glass, Shanda Lee Munson, Jonathan Thompson",Robert Radler,Stephen Edwards,"Roy Frumkes, Dan Gurskis, Alan Ormsby",91.0
Wings of Desire,1987.0,movie,Drama,8.0,67916.0,"West Germany, France","German, English, French, Turkish, Hebrew, Spanish, Japanese","Bruno Ganz, Solveig Dommartin, Otto Sander, Curt Bois, Peter Falk, Hans Martin Stier, Elmar Wilms, Sigurd Rachman, Beatrice Manowski, Lajos Kovács, Bruno Rosaz, Laurent Petitgand, Chick Ortega, Otto Kuhnle, Christoph Merg, Peter Werner, Susanne Vierkötter, Paul Busch, Karin Busch, Irene Moessinger, Franky, Teresa Harder, Daniela Nasimcova, Bernard Eisenschitz, Didier Flamand, Rolf Henke, Scott Kirby, Franck Glemin, Jerry Barrish, Jeanette Pollak, Christian Bartels, David Crome, Käthe Fürstenwerth, Werner Schönrock, Bernd Ramien, Erika Rabau, Silvia Blagojeva Itscherenska, Sultan Meral, Olivier Picot, Jochen Gliscinsky, Erich Schupke, Margarete Hafner, Oliver Herder, Margitta Haberland, Jürgen Heinrich, Ralf Strathmann, Walter Ratayszak, Charlotte Oberberg, Lubinka Kostic, Gisela Westerboer, Andreas Valentin, Annelinde Gerstl, Wolf-Dirk Vogeley, Ruth Rischke, Familie Ayik, Simon Bonney, Mick Harvey, Harry Howard, Rowland S. Howard, Epic Soundtracks, Nick Cave, Thomas Wydler, Blixa Bargeld, Roland Wolf, Kid Congo Powers, Denis Rodriguez, Dieta von Aster, Gustav Geisler, Paul Geisler, Lorenz Geisler, Sladjana Kostic, Benedikt Schumann, Nicolas Roth, Marcus Stenzel, Benjamin Ferchow, Mario Meyer, Mark Leuschner, Tibor Dahlenburg, Lia Harder, Mascha Noak, Vera Butzek, Donald Behrendt, Patric Kreuzer, Simone Säger, Gerdi Hofmann, Ulrike Schirm, Hans Marquardt, Heimke Karl, Klaus Mausolf, Özyer Hüsinye, Jean-Claude Lezin, Thierry Noir, Matthias Maaß, Henry Luczkow, Louis Cochet, Lina Otto, Johanna Penski",Wim Wenders,Jürgen Knieper,"Wim Wenders, Peter Handke, Richard Reitinger",128.0
"Ebirah, Horror of the Deep",1966.0,movie,Action,5.5,5148.0,Japan,Japanese,"Akira Takarada, Kumi Mizuno, Chôtarô Tôgin, Hideo Sunazuka, Tôru Ibuki, Akihiko Hirata, Jun Tazaki, Tôru Watanabe, Ikio Sawamura, Pair Bambi, Hideyo Amamoto, Hisaya Itô, Tadashi Okabe, Kazuo Suzuki, Shôichi Hirose, Noriko Honma, Chieko Nakakita, Seiji Ikeda, Yutaka Sada, Wataru Ômae, ""Kenichirô Maruyama"", Shigeki Ishida, Rinsaku Ogata, Yoshio Katsube, Haruo Nakajima, Yû Sekita, Hideo Shibuya, Shigeo Katô",Jun Fukuda,Masaru Satô,"""Shinichi Sekizawa""",87.0
